s, 0x29, pmu, TDEV1, 26.08
1418399039.499s, 0x00, soc, THERMAL0, 26.87
1418399039.499s, 0x01, soc, THERMAL1, 28.14
1418399039.499s, 0x02, soc, CCC_THERMAL0, 26.87
1418399041.241s, 0x29, pmu, TDEV1, 26.15
1418399044.248s, 0x29, pmu, TDEV1, 26.05
1418399044.444s, 0x2C, pmu, TDEV4, 28.61
1418399046.545s, 0x28, pmu, TJINT, 28.91
1418399046.660s, 0x2B, pmu, TDEV3, 25.95
1418399047.257s, 0x29, pmu, TDEV1, 26.08
1418399049.426s, 0x03, soc, CCC_THERMAL1, 26.45
1418399049.506s, 0x00, soc, THERMAL0, 27.71
1418399049.506s, 0x01, soc, THERMAL1, 28.14
1418399049.506s, 0x02, soc, CCC_THERMAL0, 26.45
1418399050.264s, 0x29, pmu, TDEV1, 26.02
1418399053.271s, 0x29, pmu, TDEV1, 26.08
1418399056.278s, 0x29, pmu, TDEV1, 26.08
1418399059.285s, 0x29, pmu, TDEV1, 26.08
1418399059.516s, 0x00, soc, THERMAL0, 26.87
1418399059.516s, 0x01, soc, THERMAL1, 28.56
1418399059.516s, 0x02, soc, CCC_THERMAL0, 26.45
1418399062.292s, 0x29, pmu, TDEV1, 26.08
1418399063.487s, 0x04, soc, CCC_THERMAL2, 27.29
1418399063.583s, 0x2A, pmu, TDEV2, 26.92
1418399064.436s, 0x03, soc, CCC_THERMAL1, 26.45
1418399065.304s, 0x29, pmu, TDEV1, 26.05
1418399066.675s, 0x2B, pmu, TDEV3, 25.98
1418399068.316s, 0x29, pmu, TDEV1, 26.08
1418399069.456s, 0x2C, pmu, TDEV4, 28.57
1418399069.526s, 0x00, soc, THERMAL0, 27.29
1418399069.526s, 0x01, soc, THERMAL1, 28.56
1418399069.526s, 0x02, soc, CCC_THERMAL0, 26.03
1418399071.328s, 0x29, pmu, TDEV1, 26.08
1418399074.335s, 0x29, pmu, TDEV1, 26.08
1418399077.342s, 0x29, pmu, TDEV1, 26.12
1418399079.441s, 0x03, soc, CCC_THERMAL1, 26.45
1418399079.531s, 0x00, soc, THERMAL0, 27.29
1418399079.531s, 0x01, soc, THERMAL1, 28.14
1418399079.531s, 0x02, soc, CCC_THERMAL0, 26.03
1418399080.349s, 0x29, pmu, TDEV1, 26.02
1418399083.356s, 0x29, pmu, TDEV1, 26.08
1418399086.363s, 0x29, pmu, TDEV1, 26.05
1418399086.557s, 0x28, pmu, TJINT, 28.65
1418399086.682s, 0x2B, pmu, TDEV3, 25.98
1418399089.378s, 0x29, pmu, TDEV1, 26.08
1418399089.538s, 0x00, soc, THERMAL0, 26.87
1418399089.538s, 0x01, soc, THERMAL1, 28.14
1418399089.538s, 0x02, soc, CCC_THERMAL0, 26.03
1418399092.385s, 0x29, pmu, TDEV1, 26.05
1418399093.489s, 0x04, soc, CCC_THERMAL2, 26.87
1418399093.594s, 0x2A, pmu, TDEV2, 26.92
1418399094.448s, 0x03, soc, CCC_THERMAL1, 26.45
1418399094.463s, 0x2C, pmu, TDEV4, 28.57
1418399095.391s, 0x29, pmu, TDEV1, 26.05
1418399098.398s, 0x29, pmu, TDEV1, 26.08
1418399099.543s, 0x00, soc, THERMAL0, 27.71
1418399099.543s, 0x01, soc, THERMAL1, 28.56
